company_name,company_website,contact_email,contact_phone,contact_place_street,contact_place_city,contact_place_state,contact_place_country,contact_place_postal_code,social_links
mis.arq.br,https://www.mis.arq.br,meuprojeto@mis.arq.br,+5511998747689 | +551121574156 | +551121574156,"Rua Enxovia, 472 cj. 1109",São Paulo,SP,Brazil,,https://www.youtube.com/channel/UCm9sWwAD41ulYWT4ZWCINyg/featured | https://www.facebook.com/misarquitetura | https://www.instagram.com/misarquitetura | https://br.pinterest.com/misarquitetura | https://wa.me/55011998747689 | https://maps.app.goo.gl/fbQ1y2GQnBY5CE9Y6
paulomauro.com.br,https://www.paulomauro.com.br,dpo@paulomauro.com.br,+551138649811 | +5511947635022,"Av. Sumaré, 1.421",São Paulo,SP,Brazil,05016-110,https://paulomauro.z2app.com.br/ | https://www.instagram.com/construtorapaulomauro/ | https://www.linkedin.com/company/construtorapaulomauro | https://www.facebook.com/construtorapaulomauro/ | https://www.youtube.com/channel/UC_fH6JgsNhDWUxf9uzCaaIA | https://online.crm.anapro.com.br/WebCRMService/Pages/chat/cliente/v2/ChatClienteEntrada.aspx?conta=F4ed7OoWvG01&keyIntegradora=1D5C7C44-4F49-4AA9-9DC3-92589FC6D86C&keyAgencia=1D5C7C44-4F49-4AA9-9DC3-92589FC6D86C&strDir=paulomauro&campanha=xwj8XM217lA1&canal=gvr-QPsXcrM1&produto=0aqwoenZY1E1&strmidia=Paulo Mauro&strpeca=&strpeca=&usuarioEmail=&strgrupopeca=&strcampanhapeca=&nome=&email=&telefoneDDD=&telefone=&strTexto=&keyexterno=&urlep=&urlcp=&urlca=&urlat=&strMostrarTopo=true&strAutoSubmit=true&strUsarDadosAnteriores=true&emailobrigatorio=true&telefoneobrigatorio=false&texto= | https://www.paulomauro.com.br/contato/ | https://gyroexperience.com.br/homologacao/03_production/paulomauro_legi_v3/ | https://www.minhaunidade.com/login/paulomauro_NToYiEWXuhaDGqPC/
portal.loft.com.br,https://portal.loft.com.br,,+5540202208,,,,,,https://www.facebook.com/loftbr | https://www.instagram.com/loft_br/ | https://www.linkedin.com/company/loftbr/ | https://www.youtube.com/c/LoftBrasil | https://api.whatsapp.com/send/?phone=5540202208&text&type=phone_number&app_absent=0
apto.vc,https://apto.vc/empresas/uma-incorporadora,,+551121755310 | +551121755310,"Av. dos Autonomistas, 2561",Osasco,SP,Brasil,,https://www.instagram.com/aptovc/ | https://facebook.com/aptovc/ | https://www.linkedin.com/company/aptovc/ | https://api.whatsapp.com/send?phone=551121755310&text=Ol%C3%A1%21+Gostaria+de+buscar+um+im%C3%B3vel+novo+com+Apto. | https://api.whatsapp.com/send?phone=551121755310&text=Ol%C3%A1%20Vince%2C%20estou%20procurando%20por%20im%3%B3veis.%20%2314
lamarquitetura.com.br,https://www.lamarquitetura.com.br/,contato@lamarquiteturainteriores.com.br,+551127265452 | +5511947585620 | +5511947585622,"Rua Azevedo Soares, 1040 - Conj. 58",São Paulo,SP,Brazil,,https://www.instagram.com/lam_arquitetura_interiores/ | https://m.facebook.com/LamArquitetura/ | https://br.pinterest.com/lamarquitetura/?invite_code=110e0d0842bf43e4ac66cd8b79036271&sender=7881505506383199 | https://api.whatsapp.com/send?phone=5511947585622
longitude.com.br,https://www.longitude.com.br,,+558007400505 | +5519981788100,Torre Corporate - Jardim Pompéia,Indaiatuba,SP,Brazil,13345-040,https://www.facebook.com/pages/Longitude-Desenvolvimento-Imobiliario/335355043179989?fref=ts | https://www.linkedin.com/company/longitudeoficial/ | https://www.instagram.com/longitudeoficial/ | https://api.whatsapp.com/send?phone=5519971681886&text=Achei%20um%20empreendimento%20interessante%20e%20gostaria%20de%20mais%20informa%C3%A7%C3%B5es | https://www.youtube.com/channel/UC4LFAXY-SjOEd70xdz_H7GQ | https://longitude.cvcrm.com.br/ | https://longitude.vagas.solides.com.br/
cyrela.com.br,https://www.cyrela.com.br,,+551145023333 | +552135502000 | +552135502501 | +5521973652676 | +554195589779 | +555130928652,,,,,,https://www.facebook.com/cyrela | https://www.instagram.com/cyrela/ | https://www.youtube.com/@CyrelaBrazilRealty | https://www.tiktok.com/@cyrelaoficial | https://play.google.com/store/apps/details?id=br.com.cyrela.mobile.cyrela | https://apps.apple.com/us/app/meu-cyrela/id1632951412 | https://www.cyrelaecia.com.br/cyrelalivingcia/index.asp | https://www.meuliving.com.br/ | https://www.meuvivaz.com.br/ | https://www.cashme.com.br/?utm_group=organic&utm_source=linkbuilding&utm_medium=LinkFooter&utm_campaign=Living | https://cyrela.gupy.io/ | https://www.cashme.com.br/emprestimo-com-garantia-de-imovel/?backlinkcyrelamenu= | https://institutocyrela.org.br/ | http://integridade.cyrela.com.br | https://prd-pc1.lg.com.br/Vagas/c/7B2DECAF-98C5-41EE-8138-5BA861AA7787/p/portaldevagas/pt-BR/Busca/Vagas
imoveis.trovit.com.br,https://imoveis.trovit.com.br,,+55473,,,,,,https://www.facebook.com/trovit.search/ | https://twitter.com/Trovit | https://play.google.com/store/apps/details?id=es.roid.and.trovit&hl=pt_BR | https://apps.apple.com/br/app/trovit-homes/id347012986
arquitetodebolso.com.br,https://arquitetodebolso.com.br,,,,,,,,https://www.instagram.com/arquitetodebolso?igsh=MzRlODBiNWFlZA== | https://www.youtube.com/@ArquitetodeBolso | https://pin.it/68lMCWKvk | https://www.facebook.com/arquitetodebolsobr | https://www.linkedin.com/company/upik/
sp-arq.com.br,https://sp-arq.com.br,sp-arq@sp-arq.com.br,+551127017018,"Rua Manoel Coelho, 303 - Sala 62",São Caetano do Sul,SP,Brazil,,"https://www.facebook.com/lidecora | https://www.instagram.com/spdecora/ | https://br.pinterest.com/spdecora/ | https://api.whatsapp.com/send?phone=551127017018&text=Ol%C3%A1,%20seja%20bem%20vindo%20%C3%A0%20SP%20Arquitetura%20e%20Decora%C3%A7%C3%A3o,%20envie%20sua%20mensagem%20e%20retornaremos%20em%20instantes."
grupokallas.com.br,https://grupokallas.com.br,kallas.imprensa@agenciafr.com.br | dpo@grupokallas.com.br,+551131643575,"Rua Dr. Diogo de Faria, 421",São Paulo,SP,Brasil,,https://www.facebook.com/KallasInc/ | https://www.youtube.com/channel/UC3CiKnGJ5nJMFmXmAW7D3Hg | https://www.instagram.com/kallasincorporadora/ | https://www.linkedin.com/company/grupokallas/
zapimoveis.com.br,https://www.zapimoveis.com.br,,,Av. Paulista 1.106,São Paulo,SP,Brazil,01310-914,https://www.facebook.com/zapimoveis | https://br.pinterest.com/zapimoveis | https://x.com/zapimoveis | https://www.youtube.com/ZAPImoveis | https://www.instagram.com/zapimoveis | https://www.facebook.com/oficialzapmais/ | https://twitter.com/zapimoveis | https://br.pinterest.com/zapimoveis/ | https://www.youtube.com/zapmais | https://br.linkedin.com/company/zapmais | https://www.instagram.com/oficialzapmais/
axpe.com.br,https://www.axpe.com.br,dpo@axpe.com.br,+551130743600,"Avenida Nove de Julho 5017, 10º andar, Jardim Paulista",São Paulo,SP,Brazil,01407-200,https://www.facebook.com/pages/Axpe-Im%C3%B3veis-Especiais-Unicamente/100515957997 | https://instagram.com/axpe_imoveis | https://br.linkedin.com/company/axpe-im-veis | https://api.whatsapp.com/send?text=https://www.axpe.com.br/imovel/pronto-comprar-vila-olimpia--240m-AX170454 | https://api.whatsapp.com/send?text=https://www.axpe.com.br/imovel/pronto-alugar-centro--170m-AX169250 | https://api.whatsapp.com/send?text=https://www.axpe.com.br/imovel/pronto-alugar-pinheiros--230m-AX127279 | https://api.whatsapp.com/send?text=https://www.axpe.com.br/imovel/pronto-comprar-jardim-paulistano--436m-AX170265 | https://api.whatsapp.com/send?text=https://www.axpe.com.br/busca?source=sao-paulo&finality=aluguel&use=RESIDENCIAL&ready_release=pronto&types=Apartamento&local=Alto+de+Pinheiros | https://api.whatsapp.com/send?text=https://www.axpe.com.br/busca?source=sao-paulo&finality=aluguel&use=RESIDENCIAL&ready_release=pronto&types=Cobertura&local=Alto+de+Pinheiros | https://api.whatsapp.com/send?text=https://www.axpe.com.br/busca?source=sao-paulo&finality=aluguel&use=RESIDENCIAL&ready_release=pronto&types=Casa&local=Alto+de+Pinheiros
http:,http://oitoarquitetura.com.br,contato@oitoarquitetura.com.br,+551135690750 | +551134598898,"Rua Dr. Bacelar, 368 - Conj 94",São Paulo,SP,Brazil,,
sp62arquitetura.com,https://www.sp62arquitetura.com/,,,"Av. Nossa Sra. da Paz, 525",São José do Rio Preto,São Paulo,Brazil,,https://www.facebook.com/SP62studio | https://www.youtube.com/channel/UCRdYxN_vTmKMQ_BwEohc71w | https://www.instagram.com/sp62arquitetura | https://br.linkedin.com/in/thiago-risso-8850a290
forbes.com.br,https://forbes.com.br,,,,,,,,https://www.facebook.com/ForbesBrasil | https://twitter.com/forbesbr | https://www.instagram.com/forbesbr/ | https://www.youtube.com/channel/UCGU7j8NZfhzJ2njwb2Fzcpw | https://www.linkedin.com/company/forbes-brasil | https://api.whatsapp.com/send?text=https://forbes.com.br/forbeslife/2025/01/471-anos-de-sao-paulo-arquitetos-destacam-os-edificios-mais-iconicos-da-cidade/ | https://whatsapp.com/channel/0029Va9gQKwBFLgM96cJnu0u
luniarquitetura.com.br,https://luniarquitetura.com.br/,projetos@luniarquitetura.com.br,+551141067656,"Av. Rouxinol, 1041 - 1206 - Moema",São Paulo,SP,Brazil,04516-001,
tjsp.jus.br,https://www.tjsp.jus.br,,+551148029394 | +551148029188 | +5548029358,"Praça da Sé, s/nº",São Paulo,São Paulo,Brazil,01018-010,https://x.com/TJSPoficial | https://www.facebook.com/TJSPoficial | https://www.youtube.com/TJSPoficial | https://www.flickr.com/photos/tjsp_oficial/sets/ | https://www.foursquare.com/tjspoficial | https://www.instagram.com/tjspoficial | http://www.linkedin.com/company/tjesp/ | https://tjsp.sharepoint.com/sites/TJSPIntranet | https://outlook.com/owa/tjsp.jus.br | https://www.suportesistemastjsp.com.br/ | https://forms.office.com/r/jr1eN0dUZE | https://forms.office.com/r/EVj6qWFqVf | https://tjsp.sharepoint.com/sites/CENTRODEAPOIOAOSGABINETES
http:,http://republica.arq.br/,contato@republica.arq.br | luciano@republica.arq.br | cristina@republica.arq.br | mateus@republica.arq.br,+551131293996 | +5511999203703,rua bento freitas 306 cj 62,são paulo,sp,Brasil,01220000,
myside.com.br,https://myside.com.br,,+551150396788,,,,,,https://www.facebook.com/myside.oficial | https://www.instagram.com/myside.oficial | https://www.linkedin.com/company/myside/ | https://br.pinterest.com/myside_oficial/ | https://www.youtube.com/channel/UC5pg5A1Ip1bP5mQ4dyO6BJw | https://api.whatsapp.com/send?phone=551150396788&text=Ol%C3%A1!%20Acessei%20a%20p%C3%A1gina%20do%20Lucrando%20com%20Im%C3%B3veis%20e%20gostaria%20de%20falar%20com%20um%20especialista%20em%20investimento
sebrae.com.br,https://sebrae.com.br/,,+558005700800,,,,,,https://www.youtube.com/user/tvsebrae | https://www.twitter.com/sebrae | https://www.linkedin.com/company/sebrae/ | https://www.instagram.com/sebrae/ | https://www.facebook.com/sebrae | https://api.whatsapp.com/send?phone=5508005700800
segundoimovel.com.br,https://segundoimovel.com.br,segundoimovel@gmail.com | contato@segundoimovel.com.br,+5511999911163,"Rua Pascal, 1353",São Paulo,SP,Brasil,,https://www.youtube.com/channel/UC-hApXcBfdii3Yb1LnCWqeA | https://www.facebook.com/share.php?u=https://segundoimovel.com.br | https://twitter.com/share?url=https://segundoimovel.com.br&text=SEGUNDO IMÓVEL | https://www.linkedin.com/shareArticle?mini=true&url=https://segundoimovel.com.br&title=SEGUNDO IMÓVEL
belasartes.br,https://www.belasartes.br,cursos@belasartes.br | geyse@tamer.com.br | isabella.araujo@tamer.com.br | baonline@belasartes.br | sap@belasartes.br | estagio@belasartes.br,+5511986399710 | +551140033787 | +551155765794,,São Paulo,SP,Brazil,,https://www.instagram.com/belasartes | https://www.tiktok.com/@timebelasartes | https://br.linkedin.com/school/belasartessp/ | https://www.twitter.com/belasartes | https://www.youtube.com/channel/UCOKDbhNEYpzD3QGaaUKaUgw | https://www.facebook.com/belasartes | https://api.whatsapp.com/send?phone=551140033787 | https://instagram.com/atleticabelasartes | https://www.facebook.com/atleticabelasartes
lavvi.com.br,https://www.lavvi.com.br,,+551152421410 | +5511940648968,,,,,,https://www.instagram.com/lavviincorporadora/ | https://www.linkedin.com/company/lavvi-construtora/?originalSubdomain=br | https://www.youtube.com/channel/UCXYm7ACFXCUPG8cldTjh2kQ | https://www.facebook.com/LavviIncorporadora/ | https://twitter.com/rilavvi | https://lavvi.hypnobox.com.br/?controle=Atendimento&acao=index&produto=xx&tipo_atendente=whatsapp&canal=whatsapp&subcanal=whatsapp&pre_chat=1 | https://api.mziq.com/mzfilemanager/v2/d/50f83e42-efa0-4e0d-b868-f60078bf8325/59fe7d45-abdd-5846-1f28-829524f27e24?origin=2 | https://api.mziq.com/mzfilemanager/v2/d/50f83e42-efa0-4e0d-b868-f60078bf8325/c9594ac8-fced-2145-e9c9-7a49bbcb10a6?origin=2 | https://api.mziq.com/mzfilemanager/v2/d/50f83e42-efa0-4e0d-b868-f60078bf8325/bd65afb9-d36b-20ee-138c-870692e7745b?origin=2 | https://api.mziq.com/mzfilemanager/v2/d/50f83e42-efa0-4e0d-b868-f60078bf8325/fff2d58d-96a4-1f01-5607-499964f3abdc?origin=2 | https://api.mziq.com/mzfilemanager/v2/d/50f83e42-efa0-4e0d-b868-f60078bf8325/9a9b6489-5a0c-84b3-657e-250df0d65c80?origin=1
dialogo.com.br,https://www.dialogo.com.br,,+551138479999 | +551135060000 | +551135060000,"Rua Dr. Eduardo de Souza Aranha, 153",São Paulo,SP,Brazil,04543-120,https://dialogo.gupy.io/ | https://www.facebook.com/dialogoengenharia | https://www.instagram.com/dialogoengenharia/?hl=pt-br | https://www.linkedin.com/company/dialogoengenharia/ | https://www.youtube.com/channel/UCBOdgI5KBbJHvBIVy61iMnQ?view_as=subscriber | https://maps.app.goo.gl/NzkkzeastavqPt3i9 | https://hub.goadopt.io/document/313fd763-6834-4778-8ad9-282932223002 | https://hub.goadopt.io/document/3850ea37-bf01-435a-96ae-86d6a45ab31d | https://hub.goadopt.io/privacy-hub/e5aa9c2c-d75f-4abd-bc04-731f705e93cc?language=en&legislation=lgpd&websiteId=f948c7fa-5313-4b71-8a73-7d0bcc514c1d&disclaimerId=0f32f029-6529-4997-a3ce-0bd76698135c&visitorId=dd7980b1-7ab8-4c70-ba79-ff3b9e9c6e80
conexaoconstrucao.com.br,https://www.conexaoconstrucao.com.br,,,,,,,,http://www.facebook.com/ConexaoConstrucao | http://www.twitter.com/conexaoconstru | http://www.youtube.com/# | http://www.instagram.com/conexaoconstrucao
todosarquitetura.com,https://todosarquitetura.com,contato@todos.net.br | sac@brilia.com,+551131540396,"RUA HADDOCK LOBO, 684",SÃO PAULO,SP,Brazil,,https://www.instagram.com/todosarquitetura/ | https://www.facebook.com/todosarquitetura | https://www.youtube.com/channel/UCRRVeVrOqQrS4p1oAUQ_C9g | https://vimeo.com/todosarquitetura | https://br.pinterest.com/todosarquitetur/_created/ | https://pinterest.com/todosarquitetura/
claudianovaes.com.br,https://claudianovaes.com.br/,contato@claudianovaes.com.br,+551141164840,,,,,,"https://www.instagram.com/claudianovaes.arquitetura/ | https://br.pinterest.com/claudian0320/ | https://www.youtube.com/@claudianovaesarquitetura | https://wa.me/+5511994023663?text=Ol%C3%A1,%20quero%20mais%20informa%C3%A7%C3%B5es"
saopauloarquitetos.com,https://www.saopauloarquitetos.com,,,,,,,,https://www.instagram.com/saopauloarquitetos/
simplifiqueengenharia.com.br,https://simplifiqueengenharia.com.br,contato@simplifiqueengenharia.com.br,+551151899102 | +5511947508024,"Av. das Nações Unidas, 14.401 - Conj. 1904, Torre Tarumã",São Paulo,SP,Brazil,04794-000,https://www.facebook.com/simplifiqueeng/ | https://www.instagram.com/simplifiqueeng/ | https://www.linkedin.com/company/simplifique-engenharia/ | https://wa.me/5511947508024 | https://maps.app.goo.gl/MWgnQiStQVZ5jz1QA
jacobsenarquitetura.com,https://jacobsenarquitetura.com/,,,,São Paulo,,,,https://www.facebook.com/JacobsenArquitetura/ | https://www.instagram.com/jacobsenarquitetura/ | https://www.pinterest.com/jacobsenarq/ | https://br.linkedin.com/company/jacobsen-arquitetura | https://vimeo.com/jacobsenarquitetura
galeriadaarquitetura.com.br,https://www.galeriadaarquitetura.com.br,,+5511983259747,"Rua Atílio Piffer, 571 - Casa Verde",São Paulo,SP,Brasil,,https://www.facebook.com/galeriadaarquitetura | https://www.youtube.com/user/GaleriaDaArquitetura | https://br.pinterest.com/garquitetura/ | https://www.instagram.com/galeriadaarquitetura/
