company_name,company_website,contact_email,contact_phone,contact_place_street,contact_place_city,contact_place_state,contact_place_country,contact_place_postal_code,social_links,description
otmow.com,https://otmow.com/pt-BR,mailsupport@otmow.com | support@otmow.com,+5511973106054,"Avenida Ibirapuera, 2033 CJ 203",São Paulo,SP,Brazil,04029-100,https://wa.me/+5511973106054,"Ótmow is a Brazilian fintech company that provides financial solutions, specifically focusing on receivable anticipation for companies supplying to the government. They aim to provide liquidity and sustainable growth, with a mission to be a leading securitization reference in Brazil."
mandatum.com.br,https://mandatum.com.br,mandatum@mandatum.com.br,+553132640070,"Alameda Oscar Niemeyer, 119, Sala 803",Nova Lima,MG,Brazil,,https://www.facebook.com/Guerra-2184044945026317 | https://www.instagram.com/mandatum_consultoria | https://www.linkedin.com/company/mandatum-consultoria | https://www.youtube.com/@mandatumconsultoria2936 | https://api.whatsapp.com/send?l=pt&phone=553132640070 | https://www.youtube.com/channel/UChRMRZ3_uqiHdajL-rzPSrw | https://sgcompliance.net/sg/mandatum/,"Mandatum Consultoria is a Brazilian law firm specializing in corporate consulting and advisory services across various legal areas, including public, administrative, economic, real estate, tax, and fiscal law, with expertise in international transactions."
luizadias111.com.br,https://www.luizadias111.com.br,,+551130313175 | +551130883390 | +5511972160563 | +5511998801196 | +552122107100 | +551134739150 | +551130634596 | +551332343158 | +553147263215 | +551533185838 | +553125116061 | +553432144510,"Rua Mateus Grou, 509",São Paulo,SP,Brazil,,https://www.instagram.com/luizadias111_/ | https://www.tiktok.com/@luizadias111_ | https://br.pinterest.com/luizadias111/ | https://www.facebook.com/luizadias111 | https://wa.me/5511969012880 | https://www.instagram.com/111studio__/,"Luiza Dias 111 is a Brazilian accessories brand with a contemporary design, established in 2012. The brand is known for blending classic and unexpected elements. With a 100% female team, the production is manual. They offer necklaces, earrings, rings and bracelets and have stores in São Paulo and resellers in Rio de Janeiro, Santos, Mogi das Cruzes and Uberlândia."
metro.sp.gov.br,https://www.metro.sp.gov.br,,+551131073794 | +551132917436 | +551132917437 | +558007707722,"Av. Dr. Eduardo Cotching, 1172",São Paulo,SP,Brazil,03356-000,https://www.flickr.com/governosp/ | https://www.linkedin.com/company/governosp/ | https://www.tiktok.com/@governosp | https://www.youtube.com/governosp/ | https://www.instagram.com/governosp/ | https://www.facebook.com/governosp/ | https://br.linkedin.com/company/metro-de-sao-paulo | https://www.tiktok.com/@metrosp | https://www.youtube.com/metrospoficial/ | https://www.x.com/metrosp_oficial/ | https://www.instagram.com/metrospoficial/ | https://www.facebook.com/metrosp/,"The São Paulo Metro is responsible for the operation and expansion of the subway network in the Metropolitan Region of São Paulo. It operates lines 1-Blue, 2-Green, 3-Red and 15-Silver, transporting millions of passengers daily. The website provides information about stations, schedules, accessibility and expansion projects."
finsidersbrasil.com.br,https://finsidersbrasil.com.br,redacao@finsidersbrasil.com.br,+5511985545457,,,,Brazil,,https://www.instagram.com/finsidersbrasil_/ | https://www.linkedin.com/company/finsidersbrasil | https://www.youtube.com/c/FintechsBrasilnot%C3%ADciaseneg%C3%B3cios | https://api.whatsapp.com/send?text=https://finsidersbrasil.com.br/giro-noticias/srm-asset-lanca-venture-studio-focado-na-criacao-de-fintechs/%3Futm_source=whatsapp%26utm_medium=referral%26utm_campaign=share_alongisde%20-%20SRM%20Asset%20lan%C3%A7a%20Venture%20Studio%20focado%20na%20cria%C3%A7%C3%A3o%20de%20fintechs | https://www.whatsapp.com/channel/0029VaBQvpyADTOMvhjmER2n,"Finsiders Brasil is a news portal specializing in fintechs, providing information on the latest news, trends, and innovations in the Brazilian financial market. It offers exclusive reports and detailed analysis for founders, investors, and executives in the sector."
archdaily.com.br,https://www.archdaily.com.br,,,,,,Brazil,,https://www.facebook.com/ArchDailyBrasil | https://twitter.com/ArchDailyBR | https://www.flickr.com/groups/archdaily | https://instagram.com/archdailybr | https://vimeo.com/archdaily | https://www.youtube.com/user/archdaily,"ArchDaily Brasil is an online platform dedicated to showcasing architecture, interior design, landscaping, and urbanism projects, with a focus on contemporary and inspiring designs from around the world. It provides news, articles, interviews, and videos about architecture and design."
abraceel.com.br,https://abraceel.com.br/,,+556132230081,SHS Quadra 06 Conjunto A Bloco C Sala 1707,Brasília,DF,Brazil,70322-915,https://www.facebook.com/Abraceel/?ref=br_rs | https://twitter.com/Abraceel1 | https://www.instagram.com/abraceel/ | https://br.linkedin.com/company/abraceel,"Abraceel is an association that promotes free competition in the electricity, ethanol, and natural gas markets in Brazil. It defends the interests of its members, fosters innovation and efficiency, and seeks the consolidation of the free energy market, focusing on society and the sustainable development of the sector."
tadimneves.com.br,https://tadimneves.com.br/,juridico@tadimneves.com,+5511942397752 | +551120311000,"Av. Marquês de São Vicente, 1619 - Sala 2701",São Paulo,SP,Brazil,01139-0039,"https://www.facebook.com/tadimnevesadvocacia/ | https://br.linkedin.com/company/tadim-neves-advocacia | https://www.instagram.com/tadimnevesadvocacia/ | https://twitter.com/nevestadim | https://api.whatsapp.com/send/?phone=5511942397752&text=Ol%C3%A1%2C+eu+vim+atrav%C3%A9s+do+site+e+gostaria+de+mais+informa%C3%A7%C3%B5es.&type=phone_number&app_absent=0 | https://www.google.com/maps/place/Tadim+Neves+Advocacia/@-23.5199553,-46.6768191,15z/data=!4m2!3m1!1s0x0:0x64bd4525a93f100b?sa=X&ved=2ahUKEwiP6NHpqPH6AhUYI7kGHXtRDy8Q_BJ6BAhEEAU","Tadim Neves Advocacia is a law firm specializing in Labor Law, with expertise in various areas such as Social Security Law, Civil Law, and International Law. They provide legal advice to companies and workers, focusing on defending rights and finding efficient solutions. Located in São Paulo, the firm has multiple branches and emphasizes personalized service and excellence."
wellhub.com,https://wellhub.com/pt-br/search/partners/ultra-academia-guaruja-vila-santa-rosa-guaruja/,,,"Av. Ademar de Barros, 1585",Guarujá,SP,Brasil,11430-003,https://ultraacademia.com.br/index.php?ac=unidade&a1=19 | https://www.google.com/maps/search/Av.%20Ademar%20de%20Barros%2C%201585%20-%20Vila%20Santa%20Rosa%2C%20Guaruj%C3%A1%20-%20SP%2C%2011430-003%2C%20Brasil,Ultra Academia in Guarujá offers weight training and various group classes with modern equipment and personalized service to help students achieve their goals safely with qualified professionals.
bluetree.com.br,https://www.bluetree.com.br/hotel/blue-tree-premium-faria-lima,reservas.farialima@bluetree.com.br,+551138967544,"Av. Brigadeiro Faria Lima, 3989",São Paulo,SP,Brazil,04538-133,https://www.facebook.com/bluetreepremiumfarialima/ | https://www.instagram.com/bluetreefarialima/ | https://api.whatsapp.com/send/?phone=551138967544&text&app_absent=0,"Blue Tree Premium Faria Lima is a modern hotel located in São Paulo's main business avenue, offering air-conditioned rooms with amenities like cable TV and Wi-Fi. The hotel features a heated pool with 360-degree views, a restaurant, 24-hour room service, and is located 7 km from Congonhas Airport."
imoveisfonsecabrokers.com.br,https://www.imoveisfonsecabrokers.com.br,contato@fonsecabrokers.com.br,+5511994926345,"Joaquim Eugenio de Lima, 547",São Paulo,SP,BR,01403-001,https://www.instagram.com/imoveisfonsecabrokers/reels/ | https://www.facebook.com/imoveisfonsecabrokers | https://www.youtube.com/channel/UCMq9loeYSl-zbPtrPFPTlfQ | https://www.linkedin.com/in/fonseca-brokers-075a4ba4/ | https://web.whatsapp.com/send?l=pt_br&phone=5511994926345,"Imóveis Fonseca Brokers specializes in the sale and rental of high-end properties in São Paulo, focusing on the Jardins, Itaim Bibi, and Vila Nova Conceição areas. They offer personalized service, comprehensive advice, and transparency to ensure client satisfaction."
jksquarecorporate.com.br,https://jksquarecorporate.com.br/,,+551130954300,"Rua Tenente Negrão, 100",São Paulo,São Paulo,Brazil,,,"JK Square Corporate is a high-end commercial building complex located in São Paulo's Faria Lima region. It offers corporate floors for lease, designed for companies seeking modern and efficient spaces in a prime location. The project includes a boulevard with shops, restaurants, and spaces that integrate the entire complex, and is pre-certified LEED GOLD."
cemahospital.com.br,https://www.cemahospital.com.br,dpo@cemahospital.com.br,+551126028000 | +551126024000 | +551126024197,"Rua Padre Adelino, 333",São Paulo,SP,Brazil,,https://www.instagram.com/cemahospital/ | https://www.facebook.com/hospitalcema/ | https://br.linkedin.com/company/cema-hospital-especializado-ltda,"Hospital CEMA is a specialized hospital in São Paulo, Brazil, focusing on ophthalmology and otorhinolaryngology. They offer comprehensive services including emergency care, scheduled consultations, exams, and surgeries, emphasizing excellence and patient-centered care. They have a location in the Shopping Pátio Paulista."
luxuryproperties.com.br,https://www.luxuryproperties.com.br/610/imoveis/venda-apartamento-4-quartos-alto-de-pinheiros-sao-paulo-sp,,+5511947285018 | +5511947285018 | +5511978519899,,São Paulo,SP,Brazil,,http://www.instagram.com/luxuryproperties_brazil/ | http://www.facebook.com/luxuryproperties1/?ref=hl,"Luxury Properties is a real estate agency specializing in luxury apartments in São Paulo, Brazil. They offer high-end properties with sophisticated design and comprehensive leisure facilities, particularly in the Alto de Pinheiros neighborhood."
vejasp.abril.com.br,https://vejasp.abril.com.br,,+551135849200 | +551131925586 | +5531992388180,"Avenida Alcides Sangirardi, s/n – Espaço C",São Paulo,SP,Brazil,05672-015,https://facebook.com/vejasp | https://x.com/vejasp | https://instagram.com/vejasp | https://youtube.com/vejasp | https://institutoveja.com.br/ | https://api.whatsapp.com/send?phone=551135849200 | https://api.whatsapp.com/send?phone=551131925586&text=Oi | https://api.whatsapp.com/send?phone=5531992388180&text=Oi,"Veja São Paulo is a magazine covering cultural events, city news, gastronomic tips, and various columns about life in São Paulo. It belongs to Grupo Abril and focuses on culture, leisure, and gastronomy, offering news, information, promotions, and safety tips for readers."
waze.com,https://www.waze.com/,privacy@waze.com | support@waze.com | copyright@linqmap.com,,,,,,,https://www.facebook.com/Waze | https://twitter.com/waze | https://www.youtube.com/waze | https://instagram.com/waze | https://developers.google.com/waze,"Waze is a real-time navigation and traffic app that provides drivers with optimal routes, traffic alerts, and collaborative tools for a safer and more efficient driving experience. It is now owned by Google."
institucional.convexbrasil.com.br,https://institucional.convexbrasil.com.br/,site@convexbrasil.com.br | dmkt@convexbrasil.com.br,+551733348444,"Rua Coronel Spínola de Castro, 3696",São José do Rio Preto,SP,Brasil,15015-500,"https://wa.me/5517992731985?text=Olá, tenho uma dúvida... | https://franquiaconvex.com.br/?utm_source=botao-site&utm_medium=Referral&utm_campaign=site-principal | https://revendedoradejoias.com.br/","Convex Brasil is the largest steel jewelry manufacturer in Brazil, boasting over 35 years of experience. They produce jewelry in steel, silver, and 18K gold-plated silver, focusing on innovation and sustainability. They operate through shopping malls, resellers, and stores across Brazil, supported by 7 distribution centers and 22 authorized distributors."
capitalfundos.com.br,https://capitalfundos.com.br,,+552135092150 | +551130957070 | +552135092150,"Av. Ataulfo de Paiva, 204/901",Rio de Janeiro,RJ,Brazil,,,"Capital Investimentos is a Brazilian wealth management and financial advisory firm founded in 1998.  With offices in Rio de Janeiro and São Paulo, they offer services to individuals, families, corporations, and institutional clients, focusing on investment evaluation and monitoring."
moovitapp.com,https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-Instituto_Paulista_De_higiene_Medicina_forense_e_do_Trabalho_Ltda-Sao_Paulo-site_25327521-242,,,,Sao Paulo,,Brazil,,,"Moovit is a mobility app providing real-time public transportation information for São Paulo and surrounding areas, including bus and metro routes. It helps users find the best way to reach their destinations with step-by-step directions, updated schedules, and interactive maps."
ge.globo.com,https://ge.globo.com/pr/futebol/times/parana-clube,,,,Curitiba,PR,Brazil,,https://twitter.com/parana_ge | https://www.facebook.com/globoesporteparana,"Paraná Clube is a football club based in Curitiba, Brazil, currently competing in the Série B of the Brazilian Championship. The club is seeking proposals for SAF (Sociedade Anônima de Futebol) to secure its future and is working to revoke a municipal law restricting the use of its headquarters for sports activities."
instaagro.com,https://www.instaagro.com,sac@instaagro.com,+558008824000 | +5511937502245 | +5511950258301 | +5511933317979,,,,,,https://www.facebook.com/instaagrobrasil/ | https://www.instagram.com/instaagrobr/ | https://www.linkedin.com/company/instaagro/ | https://api.whatsapp.com/send?phone=5511937502245&text=Ol%C3%A1! | https://api.whatsapp.com/send?phone=5511937502245,"InstaAgro is a Brazilian agribusiness company providing a wide range of products and solutions including crop protection, biologicals, fertilizers, seeds, irrigation systems, and agricultural equipment. They serve the agricultural sector and assist farmers across Brazil."
google.com,https://www.google.com/search?num=12,,,,,,,,,"Google is a technology company offering a wide range of products and services, including search engines, email, maps, cloud storage, and productivity tools.  It facilitates access to information, connects people and businesses, and drives digital innovation."
medsenior.com.br,https://medsenior.com.br,imprensa@medsenior.com.br,+5540072001 | +558000800551 | +558006055505 | +5540001717,"Avenida Paulista, 2006 - 15º andar",São Paulo,SP,Brazil,,https://www.linkedin.com/company/medseniorbrasil | https://www.instagram.com/medseniorbrasil/ | https://www.facebook.com/medseniorbrasil/ | https://www.youtube.com/c/MedS%C3%AAniorBrasil | https://api.whatsapp.com/send?phone=558008405505&text=Ol%C3%A1!,"MedSênior is a Brazilian health plan provider specializing in care for individuals aged 49 and older. They offer plans with a focus on preventative medicine, featuring their own facilities and a broad network of accredited providers, promoting well-being and autonomy in later life."
multilaser.com.br,https://www.multilaser.com.br,,,,,,Brazil,,https://www.instagram.com/multi_br/ | https://www.facebook.com/Multi/ | https://www.youtube.com/user/OficialMultilaser | https://twitter.com/Multilaser_BR | https://www.linkedin.com/company/grupo_multi/,"Multilaser is a Brazilian company that offers a wide range of electronics and IT products, including TVs, audio equipment, small appliances, smartphones, and accessories. They operate as an online store and aim to provide products to consumers, resellers, and businesses, focusing on innovation and quality."
drconsulta.com,https://drconsulta.com,atendimento@drconsulta.com | assessoriaimprensa@drconsulta.com | suprimento@drconsulta.com | comercial@drconsulta.com | privacidade@drconsulta.com,+551140901510,"Av. das Nações Unidas, 12995 - 8° andar",São Paulo,SP,Brazil,04578-911,https://www.facebook.com/doutorconsulta | https://www.instagram.com/drconsulta/ | https://www.youtube.com/user/DrConsulta | https://www.linkedin.com/company/drconsulta | https://www.tiktok.com/@dr.consulta | https://twitter.com/drconsulta | https://api.whatsapp.com/send/?phone=551141181339&text=Ol%C3%A1+dr.consulta%2C+gostaria+de+saber+mais+informa%C3%A7%C3%B5es.&amp,"Dr. Consulta is a Brazilian healthcare platform offering affordable and accessible medical services, including in-person and online consultations, exams, and dental care. They operate numerous medical centers in São Paulo, focusing on technology to improve the patient experience."
realestate.patria.com,https://realestate.patria.com,RI.RE@patria.com | Locacao.RE@patria.com,,"Av. Engenheiro Luiz Carlos Berrini, 105",São Paulo,SP,Brazil,,https://www.instagram.com/patriainvestments/ | https://www.linkedin.com/company/patriainvestments-brasil | http://www.youtube.com/@patriainvestments | https://www.facebook.com/share/1XSSNkwY4P/? | https://open.spotify.com/show/3yK6u08nUm9X1u51BjvpuM?si=c035557f79f24a85 | https://deezer.page.link/4H4YsVNpnChagHQn9 | https://podcasts.apple.com/us/podcast/patria-investimentos/id1596976339,"Patria Investimentos is a leading alternative investment manager in Brazil with over 35 years of experience, specializing in resilient sectors. They operate in the real estate market, offering investment funds in various asset classes. Their portfolio includes properties like Berrini One in São Paulo, a high-standard corporate building with LEED Gold certification."
br.pinterest.com,https://br.pinterest.com,,,,,,Brazil,,,"Pinterest is a visual discovery platform where users find inspiration, curate ideas, and shop for products. It allows users to discover, create, and save ideas in the form of images and videos, helping them bring projects and dreams to life."
exeltis.com.br,https://exeltis.com.br/,sac@exeltis.com | dataprotection@insudpharma.com,+558006075556,"Rua Helena, 260, 4º Andar, Conjuntos 42 e 44",São Paulo,SP,Brazil,04552-050,https://entreelas.com.br/,"Exeltis Brasil is a pharmaceutical company focused on women's health, offering comprehensive solutions for women in all stages of life. Part of the Insud Pharma group, the company invests in research and development to provide innovative and quality products, including contraceptives, supplements, and other women's health products."
doctoralia.com.br,https://www.doctoralia.com.br,,,,,,,,https://www.facebook.com/doctoralia.br/ | https://www.instagram.com/doctoralia_br/ | https://www.linkedin.com/company/doctoralia-brasil/,"Doctoralia is a healthcare platform connecting patients with healthcare professionals, enabling online appointment scheduling and providing tools for professionals to manage appointments and improve patient communication."
institutomedicopaulista.com.br,https://www.institutomedicopaulista.com.br/,contato@institutomedicopaulista.com.br,+551151816867,"R. JOAQUIM GUARANI, 360",São Paulo,SP,Brazil,04707-061,https://api.whatsapp.com/send?phone=551151816867 | https://instagram.com/institutomedicopaulista | https://facebook.com/institutomedicopaulista,"Instituto Médico Paulista (IPMD) is a polyclinic located in São Paulo, Brazil, offering a range of medical specialties including general practice, psychology, nutrition, and physiotherapy. They also provide wellness and aesthetic treatments. The clinic is led by Dr. Ana Lúcia Anauati."
valor.globo.com,https://valor.globo.com,,,,,,Brazil,,,"Valor Econômico is a Brazilian news outlet focusing on finance, economics, politics, and business. It provides in-depth analysis, real-time market data, and news for decision-makers in Brazil."
carpacambio.com.br,https://carpacambio.com.br/,,,,,,Brazil,,,"Carpa Soluções Financeiras specializes in international financial transactions, providing currency exchange solutions for import, export, tourism, and freight. They offer comprehensive support, including tax and fee analysis, currency conversion, and prepaid cards. As a partner of Grupo China Link and the Canton Fair, Carpa facilitates efficient and secure currency operations."
papelariapinheiro.com.br,https://www.papelariapinheiro.com.br,atendimento@papelariapinheiro.com.br,+553438231314,"Avenida Fátima Porto, 2881",Patos de Minas,MG,Brazil,38705-184,https://api.whatsapp.com/send?phone=553438231314 | https://www.instagram.com/_papelariapinheiro,"Papelaria Pinheiro is a stationery store located in Patos de Minas, Brazil, offering a wide range of products including school and office supplies, gifts, and craft items. They also sell backpacks and related items."
www8.careplus.com.br,https://www8.careplus.com.br/portal/portal/modulos/rede/pesquisaRedeCP.aspx,,+558000132992 | +558007717750 | +558004079000,,,,Brazil,,https://br.linkedin.com/company/care-plus | https://www.instagram.com/careplusoficial/ | https://www.facebook.com/careplusnarede/ | https://www.youtube.com/user/careplusnarede | https://www.onetrust.com/products/cookie-consent/,"Care Plus is a premium health operator in Brazil with over 30 years of experience, offering health and dental plans for businesses of all sizes. They focus on humanization, quality of life, and personalized solutions, emphasizing their Rede Plus network, health management, and beneficiary well-being programs."
materiais.ultraacademia.com.br,https://materiais.ultraacademia.com.br/ultra,,,,,,Brazil,,,"Ultra Academia is a Brazilian fitness franchise focused on providing innovative training experiences through diverse modalities, including group classes and specialized studios. They aim to transform lives through sports and are actively investing in the Brazilian fitness market."
mapma.com.br,https://mapma.com.br,,+552121021312 | +558000251312,,,,Brazil,,https://api.whatsapp.com/send?phone=552122164800 | https://wa.me/2122164800,"MedSênior is a Brazilian health insurance company founded in 2005, specializing in healthcare plans for seniors. They offer specialized care focused on disease prevention and well-being, with coverage options ranging from basic to premium, including accredited hospitals and laboratories in regions such as Rio de Janeiro, Paraná, Minas Gerais, and São Paulo."
ludemann.com.br,https://ludemann.com.br/,projetos@ludemann.com.br,+551151825043,,São Paulo,,Brazil,,,"Ludemann is a Brazilian engineering company established in 2006, specializing in industrial construction, residential complexes, basic sanitation, highways, and tunnels. They offer contract management with a focus on customer service and have projects in infrastructure and urbanization, primarily in São Paulo."
gndi.com.br,https://www.gndi.com.br,,,,,,Brazil,,,"Hapvida NotreDame Intermédica is one of the largest healthcare operators in Latin America, providing health and dental plans for individuals and businesses. Focusing on preventative medicine, they have a large network of care facilities across Brazil, including hospitals, clinics, and laboratories. They aim to provide accessible and high-quality healthcare, emphasizing personalized care and benefits such as telehealth and a discount program."
blog.fbfe.com.br,https://blog.fbfe.com.br,,+551123858012,,São Paulo,SP,Brazil,,https://www.linkedin.com/company/f%C3%B3rum-brasileiro-da-fam%C3%ADlia-empres%C3%A1ria---fbfe | https://www.youtube.com/channel/UC_wYp3NY4DbrBuozd4wKJBQ | https://www.twitter.com/FBFE_ | https://www.facebook.com/forumbrasileirofamiliaempresaria | https://www.instagram.com/fbfe_oficial/,"The Fórum Brasileiro da Família Empresária (FBFE) is a forum exclusively for executives and members of family businesses, successors, and shareholders. It provides knowledge and exchange of experiences to effectively manage the family and the business, promoting connection, education and transformation of business families in Brazil."
loft.com.br,https://loft.com.br/,meajuda@loft.com.br | imprensa@loft.com.br,+5540202208,"Rua Tabapuã, 743",São Paulo,SP,Brazil,04533-012,https://www.instagram.com/loft_br/,"Loft is a real estate company based in Brazil that simplifies the buying, selling, and renting of properties through its online portal and technological solutions. They operate in multiple Brazilian cities, focusing on São Paulo and Rio de Janeiro, serving property owners, buyers, and real estate agencies."
