company_name,company_website,contact_email,contact_phone,contact_place_street,contact_place_city,contact_place_state,contact_place_country,contact_place_postal_code,social_links,description
otmow.com,https://otmow.com/pt-BR,mailsupport@otmow.com | support@otmow.com,+5511973106054,"Avenida Ibirapuera, 2033, CJ 203",São Paulo,SP,Brazil,04029-100,https://wa.me/+5511973106054,
mandatum.com.br,https://mandatum.com.br,mandatum@mandatum.com.br,+553132640070,"Alameda Oscar Niemeyer, 119, Sala 803",Nova Lima,MG,Brazil,,https://www.facebook.com/Guerra-2184044945026317 | https://www.instagram.com/mandatum_consultoria | https://www.linkedin.com/company/mandatum-consultoria | https://www.youtube.com/@mandatumconsultoria2936 | https://api.whatsapp.com/send?l=pt&phone=553132640070 | https://www.youtube.com/channel/UChRMRZ3_uqiHdajL-rzPSrw | https://sgcompliance.net/sg/mandatum/,
luizadias111.com.br,https://www.luizadias111.com.br,,+551130313175 | +551130883390 | +5511972160563 | +5511998801196 | +552122107100 | +551134739150 | +551130634596 | +551332343158 | +553147263215 | +551533185838 | +553125116061 | +553432144510,"Rua Mateus Grou, 509",São Paulo,SP,Brazil,,https://www.instagram.com/luizadias111_/ | https://www.tiktok.com/@luizadias111_ | https://br.pinterest.com/luizadias111/ | https://www.facebook.com/luizadias111 | https://wa.me/5511969012880 | https://www.instagram.com/111studio__/,
metro.sp.gov.br,https://www.metro.sp.gov.br,,+551131073794 | +551132917436 | +551132917437 | +558007707722,"Av. Dr. Eduardo Cotching, 1172",São Paulo,SP,Brazil,03356-000,https://www.flickr.com/governosp/ | https://www.linkedin.com/company/governosp/ | https://www.tiktok.com/@governosp | https://www.youtube.com/governosp/ | https://www.instagram.com/governosp/ | https://www.facebook.com/governosp/ | https://br.linkedin.com/company/metro-de-sao-paulo | https://www.tiktok.com/@metrosp | https://www.youtube.com/metrospoficial/ | https://www.x.com/metrosp_oficial/ | https://www.instagram.com/metrospoficial/ | https://www.facebook.com/metrosp/,
finsidersbrasil.com.br,https://finsidersbrasil.com.br,redacao@finsidersbrasil.com.br,+5511985545457,,,,Brazil,,https://www.instagram.com/finsidersbrasil_/ | https://www.linkedin.com/company/finsidersbrasil | https://www.youtube.com/c/FintechsBrasilnot%C3%ADciaseneg%C3%B3cios | https://api.whatsapp.com/send?text=https://finsidersbrasil.com.br/giro-noticias/srm-asset-lanca-venture-studio-focado-na-criacao-de-fintechs/%3Futm_source=whatsapp%26utm_medium=referral%26utm_campaign=share_alongisde%20-%20SRM%20Asset%20lan%C3%A7a%20Venture%20Studio%20focado%20na%20cria%C3%A7%C3%A3o%20de%20fintechs | https://www.whatsapp.com/channel/0029VaBQvpyADTOMvhjmER2n,
archdaily.com.br,https://www.archdaily.com.br,,,,,,Brazil,,https://www.facebook.com/ArchDailyBrasil | https://twitter.com/ArchDailyBR | https://www.flickr.com/groups/archdaily | https://instagram.com/archdailybr | https://vimeo.com/archdaily | https://www.youtube.com/user/archdaily,
abraceel.com.br,https://abraceel.com.br/,,+556132230081,SHS Quadra 06 Conjunto A Bloco C Sala 1707,Brasília,DF,Brazil,70322-915,https://www.facebook.com/Abraceel/?ref=br_rs | https://twitter.com/Abraceel1 | https://www.instagram.com/abraceel/ | https://br.linkedin.com/company/abraceel,
tadimneves.com.br,https://tadimneves.com.br/,juridico@tadimneves.com,+5511942397752 | +551120311000,"Av. Marquês de São Vicente, 1619 - Sala 2701",São Paulo,SP,Brazil,01139-0039,"https://www.facebook.com/tadimnevesadvocacia/ | https://br.linkedin.com/company/tadim-neves-advocacia | https://www.instagram.com/tadimnevesadvocacia/ | https://twitter.com/nevestadim | https://api.whatsapp.com/send/?phone=5511942397752&text=Ol%C3%A1%2C+eu+vim+atrav%C3%A9s+do+site+e+gostaria+de+mais+informa%C3%A7%C3%B5es.&type=phone_number&app_absent=0 | https://api.whatsapp.com/send/?phone=5511942397752&text=Ola%21+Vim+atrav%C3%A9s+do+site+Tadim+Neves+Advocacia%2C+e+gostaria+de+conversar+com+um+atendente...&type=phone_number&app_absent=0 | https://www.google.com/maps/place/Tadim+Neves+Advocacia/@-23.5199553,-46.6768191,15z/data=!4m2!3m1!1s0x0:0x64bd4525a93f100b?sa=X&ved=2ahUKEwiP6NHpqPH6AhUYI7kGHXtRDy8Q_BJ6BAhEEAU",
wellhub.com,https://wellhub.com/pt-br/search/partners/ultra-academia-guaruja-vila-santa-rosa-guaruja/,,,"Av. Ademar de Barros, 1585",Guarujá,SP,Brasil,11430-003,https://ultraacademia.com.br/index.php?ac=unidade&a1=19 | https://www.google.com/maps/search/Av.%20Ademar%20de%20Barros%2C%201585%20-%20Vila%20Santa%20Rosa%2C%20Guaruj%C3%A1%20-%20SP%2C%2011430-003%2C%20Brasil,
bluetree.com.br,https://www.bluetree.com.br/hotel/blue-tree-premium-faria-lima,reservas.farialima@bluetree.com.br,+551138967544,"Av. Brigadeiro Faria Lima, 3989",São Paulo,São Paulo,Brazil,04538-133,https://www.facebook.com/bluetreepremiumfarialima/ | https://www.instagram.com/bluetreefarialima/ | https://api.whatsapp.com/send/?phone=551138967544&text&app_absent=0,
imoveisfonsecabrokers.com.br,https://www.imoveisfonsecabrokers.com.br,contato@fonsecabrokers.com.br,+5511994926345,"Joaquim Eugenio de Lima, 547",São Paulo,SP,BR,01403-001,https://www.instagram.com/imoveisfonsecabrokers/reels/ | https://www.facebook.com/imoveisfonsecabrokers | https://www.youtube.com/channel/UCMq9loeYSl-zbPtrPFPTlfQ | https://www.linkedin.com/in/fonseca-brokers-075a4ba4/ | https://web.whatsapp.com/send?l=pt_br&phone=5511994926345,
jksquarecorporate.com.br,https://jksquarecorporate.com.br/,,+551130954300,"Rua Tenente Negrão, 100",São Paulo,São Paulo,Brazil,,,"O JK Square Corporate é um complexo de edifícios comerciais de alto padrão localizado em São Paulo, na região da Faria Lima. Ele oferece lajes corporativas para locação, projetadas para empresas que buscam espaços modernos e eficientes em uma localização privilegiada. O projeto inclui um boulevard com lojas, restaurantes e espaços que integram todo o complexo, com pré-certificação LEED GOLD."
cemahospital.com.br,https://www.cemahospital.com.br,dpo@cemahospital.com.br,+551126028000 | +551126024000,"Rua Padre Adelino, 333",São Paulo,SP,BR,,https://www.instagram.com/cemahospital/ | https://www.facebook.com/hospitalcema/ | https://br.linkedin.com/company/cema-hospital-especializado-ltda,
luxuryproperties.com.br,https://www.luxuryproperties.com.br/610/imoveis/venda-apartamento-4-quartos-alto-de-pinheiros-sao-paulo-sp,,+5511947285018 | +5511947285018 | +5511978519899,,São Paulo,SP,Brazil,,http://www.instagram.com/luxuryproperties_brazil/ | http://www.facebook.com/luxuryproperties1/?ref=hl,
vejasp.abril.com.br,https://vejasp.abril.com.br,,+551135849200 | +551131925586 | +5531992388180,"Avenida Alcides Sangirardi, s/n – Espaço C",São Paulo,SP,BR,05672-015,https://facebook.com/vejasp | https://x.com/vejasp | https://instagram.com/vejasp | https://youtube.com/vejasp | https://institutoveja.com.br/ | https://api.whatsapp.com/send?phone=551135849200 | https://api.whatsapp.com/send?phone=551131925586&text=Oi | https://api.whatsapp.com/send?phone=5531992388180&text=Oi,
waze.com,https://www.waze.com/,privacy@waze.com | support@waze.com | copyright@linqmap.com,,,,,,,https://www.facebook.com/Waze | https://twitter.com/waze | https://www.youtube.com/waze | https://instagram.com/waze | https://developers.google.com/waze,
institucional.convexbrasil.com.br,https://institucional.convexbrasil.com.br/,site@convexbrasil.com.br | dmkt@convexbrasil.com.br,+551733348444,"Rua Coronel Spínola de Castro, 3696",São José do Rio Preto,SP,Brazil,15015-500,"https://wa.me/5517992731985?text=Olá, tenho uma dúvida... | https://franquiaconvex.com.br/?utm_source=botao-site&utm_medium=Referral&utm_campaign=site-principal | https://revendedoradejoias.com.br/",
capitalfundos.com.br,https://capitalfundos.com.br,,+552135092150 | +551130957070 | +552135092150,"Av. Ataulfo de Paiva, 204/901",Rio de Janeiro,RJ,Brazil,,,
moovitapp.com,https://moovitapp.com/index/pt-br/transporte_p%C3%BAblico-Instituto_Paulista_De_higiene_Medicina_forense_e_do_Trabalho_Ltda-Sao_Paulo-site_25327521-242,,,,Sao Paulo,São Paulo,Brazil,,,
ge.globo.com,https://ge.globo.com/pr/futebol/times/parana-clube,,,,Curitiba,PR,Brasil,,https://twitter.com/parana_ge | https://www.facebook.com/globoesporteparana,
instaagro.com,https://www.instaagro.com,sac@instaagro.com,+558008824000 | +5511937502245 | +5511950258301 | +5511933317979,"Avenida Adolfo Pinheiro, 1029, CJ 116","Santo Amaro, São Paulo",Estado de São Paulo,Brasil,04733-100,https://www.facebook.com/instaagrobrasil/ | https://www.instagram.com/instaagrobr/ | https://www.linkedin.com/company/instaagro/ | https://api.whatsapp.com/send?phone=5511937502245&text=Ol%C3%A1! | https://api.whatsapp.com/send?phone=5511937502245,
google.com,https://www.google.com/search?num=12,,,,,,,,,"O Google é uma empresa de tecnologia que oferece uma ampla gama de produtos e serviços, incluindo mecanismos de busca, e-mail, mapas, armazenamento em nuvem e ferramentas de produtividade. Com presença global, o Google facilita o acesso à informação, conecta pessoas e empresas e impulsiona a inovação digital."
medsenior.com.br,https://medsenior.com.br,imprensa@medsenior.com.br,+5540072001 | +558000800551 | +558006055505 | +5540001717,"Avenida Paulista, 2006 - 15º andar",São Paulo,SP,BR,,https://www.linkedin.com/company/medseniorbrasil | https://www.instagram.com/medseniorbrasil/ | https://www.facebook.com/medseniorbrasil/ | https://www.youtube.com/c/MedS%C3%AAniorBrasil | https://api.whatsapp.com/send?phone=558008405505&text=Ol%C3%A1!,
multilaser.com.br,https://www.multilaser.com.br,,,,,,Brazil,,https://www.instagram.com/multi_br/ | https://www.facebook.com/Multi/ | https://www.youtube.com/user/OficialMultilaser | https://twitter.com/Multilaser_BR | https://www.linkedin.com/company/grupo_multi/,
drconsulta.com,https://drconsulta.com,atendimento@drconsulta.com | assessoriaimprensa@drconsulta.com | suprimento@drconsulta.com | comercial@drconsulta.com | privacidade@drconsulta.com,+551140901510,"Av. das Nações Unidas, 12995 - 8° andar",São Paulo,SP,Brazil,04578-911,https://www.facebook.com/doutorconsulta | https://www.instagram.com/drconsulta/ | https://www.youtube.com/user/DrConsulta | https://www.linkedin.com/company/drconsulta | https://www.tiktok.com/@dr.consulta | https://twitter.com/drconsulta | https://api.whatsapp.com/send/?phone=551141181339&text=Ol%C3%A1+dr.consulta%2C+gostaria+de+saber+mais+informa%C3%A7%C3%B5es.&amp,
realestate.patria.com,https://realestate.patria.com,RI.RE@patria.com | Locacao.RE@patria.com,,"Av. Engenheiro Luiz Carlos Berrini, 105",São Paulo,SP,Brazil,,https://www.instagram.com/patriainvestments/ | https://www.linkedin.com/company/patriainvestments-brasil | http://www.youtube.com/@patriainvestments | https://www.facebook.com/share/1XSSNkwY4P/? | https://open.spotify.com/show/3yK6u08nUm9X1u51BjvpuM?si=c035557f79f24a85 | https://deezer.page.link/4H4YsVNpnChagHQn9 | https://podcasts.apple.com/us/podcast/patria-investimentos/id1596976339,
br.pinterest.com,https://br.pinterest.com,,,,,,Brazil,,,
exeltis.com.br,https://exeltis.com.br/,sac@exeltis.com | dataprotection@insudpharma.com,+558006075556,"Rua Helena, 260, 4º Andar, Conjuntos 42 e 44",São Paulo,SP,Brazil,04552-050,https://entreelas.com.br/,
doctoralia.com.br,https://www.doctoralia.com.br,,,Rua Afonso Bráz 579 Conj 12,São Paulo,São Paulo,Brazil,,https://www.facebook.com/doctoralia.br/ | https://www.instagram.com/doctoralia_br/ | https://www.linkedin.com/company/doctoralia-brasil/,
institutomedicopaulista.com.br,https://www.institutomedicopaulista.com.br/,contato@institutomedicopaulista.com.br,+551151816867,"R. JOAQUIM GUARANI, 360",São Paulo,SP,Brazil,04707-061,https://api.whatsapp.com/send?phone=551151816867 | https://instagram.com/institutomedicopaulista | https://facebook.com/institutomedicopaulista,
valor.globo.com,https://valor.globo.com,,,,,,Brazil,,,
carpacambio.com.br,https://carpacambio.com.br/,,,,,,Brazil,,,"A Carpa Soluções Financeiras é especializada em transações internacionais, oferecendo soluções em câmbio para importação, exportação, turismo e frete. A empresa fornece suporte completo, incluindo análise de impostos e taxas, conversão de moedas e cartões pré-pagos. Parceira do Grupo China Link e da Canton Fair, a Carpa facilita operações cambiais com eficiência e segurança."
papelariapinheiro.com.br,https://www.papelariapinheiro.com.br,atendimento@papelariapinheiro.com.br,+553438231314,"Avenida Fátima Porto , 2881",Patos de Minas,MG,BR,38705-184,https://api.whatsapp.com/send?phone=553438231314 | https://www.instagram.com/_papelariapinheiro,
www8.careplus.com.br,https://www8.careplus.com.br/portal/portal/modulos/rede/pesquisaRedeCP.aspx,,+558000132992 | +558007717750 | +558004079000,,,,Brazil,,https://br.linkedin.com/company/care-plus | https://www.instagram.com/careplusoficial/ | https://www.facebook.com/careplusnarede/ | https://www.youtube.com/user/careplusnarede | https://www.onetrust.com/products/cookie-consent/,
materiais.ultraacademia.com.br,https://materiais.ultraacademia.com.br/ultra,,,,,,Brazil,,,"A Ultra Academia é uma rede de academias que visa oferecer uma experiência de fitness inovadora. Com foco em transformar a vida das pessoas através do esporte, a Ultra oferece diversas modalidades de treino, incluindo aulas coletivas e studios especializados, com o objetivo de atender às necessidades de um público diversificado. A empresa se destaca por seu modelo de franquia e por estar ativamente investindo no mercado fitness brasileiro."
mapma.com.br,https://mapma.com.br,,+552121021312 | +558000251312,,,,Brazil,,https://api.whatsapp.com/send?phone=552122164800 | https://wa.me/2122164800,
ludemann.com.br,https://ludemann.com.br/,projetos@ludemann.com.br,+551151825043,,São Paulo,São Paulo,Brazil,,,
gndi.com.br,https://www.gndi.com.br,,,,,,Brazil,,,
blog.fbfe.com.br,https://blog.fbfe.com.br,,+551123858012,,São Paulo,SP,Brazil,,https://www.linkedin.com/company/f%C3%B3rum-brasileiro-da-fam%C3%ADlia-empres%C3%A1ria---fbfe | https://www.youtube.com/channel/UC_wYp3NY4DbrBuozd4wKJBQ | https://www.twitter.com/FBFE_ | https://www.facebook.com/forumbrasileirofamiliaempresaria | https://www.instagram.com/fbfe_oficial/,
loft.com.br,https://loft.com.br/,meajuda@loft.com.br | imprensa@loft.com.br,+5540202208,"Rua Tabapuã, 743",São Paulo,SP,Brazil,04533-012,https://www.instagram.com/loft_br/,
bloomberglinea.com,https://www.bloomberglinea.com,ads@bloomberglinea.com | summit@bloomberglinea.com | support@bloomberglinea.com,,,,,,,https://www.facebook.com/BloombergLineaBrasil | https://twitter.com/BloombergLineaB | https://www.youtube.com/channel/UCBc9G2aqKQDaMZbeeqgNpSA | https://www.instagram.com/bloomberglineabrasil/ | https://www.linkedin.com/company/bloomberglínea | https://www.tiktok.com/@bloomberglineabrasil | https://open.spotify.com/show/1JhleHHeSjIwtnEOi2Scd5,
youinc.com.br,https://www.youinc.com.br,,+551130740788 | +551131819019 | +551131997900 | +551147800000,"Av. Pres. Juscelino Kubitschek, 360",São Paulo,SP,BR,04543-000,https://www.facebook.com/youincorporadora | https://instagram.com/youinc | https://www.linkedin.com/company/you-inc-incorporadora?trk=biz-companies-cym | https://www.youtube.com/user/youincorporadora | https://br.pinterest.com/youincincorporadora/_created/ | https://www.tiktok.com/@youinc_ | https://api.whatsapp.com/send?phone=551130740788,
careplusclinic.com.br,https://www.careplusclinic.com.br/,,+558004071686 | +552138045875,"Alameda Araguaia, 871",Barueri,São Paulo,Brazil,,https://www.instagram.com/careplus_clinic/ | https://www.facebook.com/careplusclinicoficial/ | https://www.youtube.com/user/careplusnarede,
lopes.com.br,https://www.lopes.com.br,,,,São Paulo,,Brazil,,https://www.facebook.com/imobiliaria.lopes | https://www.twitter.com/Lopes_Imoveis | https://www.instagram.com/lopesimoveis/ | https://www.linkedin.com/company/lopes-consultoria-de-imoveis | https://www.youtube.com/user/lopesconsultoria,
metroquadrado.com,https://metroquadrado.com/,comercial@metroquadrado.com,,,,,Brazil,,https://www.facebook.com/metroquadradonews/ | https://twitter.com/metroquadrado_ | https://www.linkedin.com/company/metroquadrado/ | https://www.instagram.com/metroquadrado/,
participemais.prefeitura.sp.gov.br,https://participemais.prefeitura.sp.gov.br,participemais@prefeitura.sp.gov.br,+551131139499 | +551131138525,"Viaduto do Chá, 15",São Paulo,SP,Brazil,01002-020,https://www.facebook.com/participemais/ | https://www.instagram.com/participemais | https://www.linkedin.com/company/cidade-de-sao-paulo/ | https://www.tiktok.com/@prefsp | https://www.youtube.com/prefeiturasaopaulo | https://twitter.com/prefsp | https://www.youtube.com/c/govabertocidadesp | https://m.facebook.com/GovernoAbertoCidadeSP/ | https://twitter.com/govabertoprefsp | https://www.instagram.com/govabertocidadesp/ | http://codigoaberto.prefeitura.sp.gov.br/casacivil/participemais.git,
siila.com.br,https://www.siila.com.br,contato@siila.com.br,+551130469595,"Rua Gomes de Carvalho, 1069, cj. 22",São Paulo,SP,Brasil,04547-004,https://www.linkedin.com/company/siila-br | https://www.youtube.com/c/SiiLABR | https://web.facebook.com/SiiLA.BR/ | https://www.instagram.com/siila.br | https://twitter.com/SiiLA_br | https://www.tiktok.com/@siilaspot.br,
homolog.cury.net,https://homolog.cury.net,,+5521999923476 | +5511943136101,"Rua Candomba, 01",São Paulo,SP,Brazil,,https://www.facebook.com/CuryConstrutora?fref=ts | https://www.instagram.com/curyconstrutora/ | https://twitter.com/curyconstrutora | https://www.youtube.com/user/curyconstrutora | https://www.linkedin.com/company/cury-construtora/ | https://br.pinterest.com/curyconstrutoranet/ | https://www.tiktok.com/@curyconstrutora | http://www.relacionamentocury.com.br/ | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Cidade Jaguaré - Vila Pinheiros. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre a Cury Construtora SP | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Flow Barra Funda 2. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Flow Barra Funda. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Jardim. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Mérito Vila Maria. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Cidade Mooca. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Cidade Mooca Vila Palermo. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Square Panamby Itapaiuna. | https://api.whatsapp.com/send?phone=5521999923476&text=Olá! Tenho interesse em saber mais sobre o imóvel Cury Dez Bom Retiro. | https://api.whatsapp.com/send?phone=5511943136101&text=Olá! Tenho interesse em saber mais sobre a Cury Construtora SP,
hospitaligesp.com.br,https://hospitaligesp.com.br,,+551131476200 | +551340420999,"Rua Alferes Magalhães, 315",São Paulo,SP,Brazil,,https://www.youtube.com/@hospital_igesp | https://www.facebook.com/hospitaligesp | https://www.linkedin.com/company/hospital-igesp-oficial | https://www.instagram.com/hospital_igesp/,
planosmedsenior.com.br,https://planosmedsenior.com.br,,+551132567276,"Avenida Brasil, 376",São Paulo,São Paulo,Brazil,,https://api.whatsapp.com/send?phone=5511978252970&text=QueroinformaessobreoplanoMedseniorSaúde | https://api.whatsapp.com/send?phone=5511978252970&text=Quero%20informa%C3%A7%C3%B5es%20sobre%20o%20plano%20Medsenior%20Sa%C3%BAde | https://www.facebook.com/sharer.php?u=https://planosmedsenior.com.br/medicina-preventiva/ | https://twitter.com/share?url=https://planosmedsenior.com.br/medicina-preventiva/ | https://pinterest.com/pin/create/button/?url=https://planosmedsenior.com.br/medicina-preventiva/&media=https://planosmedsenior.com.br/wp-content/uploads/2023/11/foto-medico-medicina-preventiva-medsenior-1024x683.jpg | https://www.linkedin.com/shareArticle?mini=true&url=https://planosmedsenior.com.br/medicina-preventiva/&title=Medicina%20Preventiva | https://www.facebook.com/sharer.php?u=https://planosmedsenior.com.br/nova-unidade-medsenior-avenida-brasil-em-sao-paulo/ | https://twitter.com/share?url=https://planosmedsenior.com.br/nova-unidade-medsenior-avenida-brasil-em-sao-paulo/ | https://pinterest.com/pin/create/button/?url=https://planosmedsenior.com.br/nova-unidade-medsenior-avenida-brasil-em-sao-paulo/&media=https://planosmedsenior.com.br/wp-content/uploads/2023/12/Nova-Unidade-MedSenior-Avenida-Brasil-Sao-Paulo.jpg | https://www.linkedin.com/shareArticle?mini=true&url=https://planosmedsenior.com.br/nova-unidade-medsenior-avenida-brasil-em-sao-paulo/&title=Nova%20Unidade%20MedS%C3%AAnior%20Avenida%20Brasil%20em%20S%C3%A3o%20Paulo | https://www.facebook.com/sharer.php?u=https://planosmedsenior.com.br/plano-de-saude-para-terceira-idade/ | https://twitter.com/share?url=https://planosmedsenior.com.br/plano-de-saude-para-terceira-idade/ | https://pinterest.com/pin/create/button/?url=https://planosmedsenior.com.br/plano-de-saude-para-terceira-idade/&media=https://planosmedsenior.com.br/wp-content/uploads/2023/11/Plano-de-Saude-para-terceira-idade.jpg | https://www.linkedin.com/shareArticle?mini=true&url=https://planosmedsenior.com.br/plano-de-saude-para-terceira-idade/&title=Plano%20de%20Sa%C3%BAde%20para%20terceira%20idade,
multilaserempresas.com.br,https://www.multilaserempresas.com.br/,,,,,,Brazil,,,"A Loja Multilaser Empresas Oficial oferece uma ampla variedade de produtos em diversas categorias como smartphones, informática, drones, saúde, brinquedos, automotivos e esportes, buscando atender às necessidades de consumidores, revendedores e empresas com soluções tecnológicas e de lazer."
